STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,no2,pm2_5,rspm,so2,spm
1393,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,30.6,6.7,7.5,203,NAN,0.1,11,27,2014,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",DAMAN & DIU,NAN,NAN,0,208,NAN,NAN,NAN,NAN,2013,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,31,7.1,7.8,151,8,0.08, , ,2012,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,29.1,6.7,7.7,218,5,1.31,NAN,NAN,2011,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2459,"DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMAN ",DAMAN & DIU,29.9,5.6,7.5,15608,25,18.73,5,5,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2460,DAMANGANGA AT DISCHARG POINT DISTILLARY,DAMAN & DIU,29.9,3.7,7.5,39503,13.5,25.71,NAN,NAN,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,29.8,4.7,7.6,46170,21.5,19.69,NAN,NAN,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2462,"DAMANGANGA AT VAPI WEIR, VAPI",DAMAN & DIU,30.2,5.8,7.8,378,NAN,2.61,NAN,NAN,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2463,"DAMANGANGA AT LAVACHA TEMPLE, DADRA",DAMAN & DIU,29.7,6.6,7.7,489,NAN,2.66,350,350,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2464,"DAMANGANGA at D/s of M/s Surat Beverages, Dadra",DAMAN & DIU,30.1,6.6,7.4,492,NAN,3.6,NAN,NAN,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA",DAMAN & DIU,30.3,6.2,7.8,359,NAN,3.67,4,NAN,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",DAMAN & DIU,29.8,5.8,7.7,8757,NAN,10.45,4,4,2010,16.168925831202046,27.886363636363637,73.749430523918,8.192957746478873,145.68141592920355
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,29.8,5.7,7.2,189,2,0.2,4953,8391,2014,12.506336805555556,18.855611510791366,61.212765957446805,6.827912857420736,67.25419256550884
1475,ZUARI AT PANCHAWADI,GOA,29.5,6.3,6.9,179,1.7,0.1,3243,5330,2014,12.506336805555556,18.855611510791366,61.212765957446805,6.827912857420736,67.25419256550884
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,29.7,5.8,6.9,64,3.8,0.5,5382,8443,2014,12.506336805555556,18.855611510791366,61.212765957446805,6.827912857420736,67.25419256550884
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,29.5,5.8,7.3,83,1.9,0.4,3428,5500,2014,12.506336805555556,18.855611510791366,61.212765957446805,6.827912857420736,67.25419256550884
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,30,5.5,7.4,81,1.5,0.1,2853,4049,2014,12.506336805555556,18.855611510791366,61.212765957446805,6.827912857420736,67.25419256550884
