Country,EPI
Denmark,77.9
United Kingdom,77.7
Finland,76.5
Malta,75.2
Sweden,72.7
Luxembourg,72.3
Slovenia,67.3
Austria,66.5
Switzerland,65.9
Iceland,62.8
Netherlands,62.6
France,62.5
Germany,62.4
Estonia,61.4
Latvia,61.1
Croatia,60.2
Australia,60.1
Slovakia,60
Czech Republic,59.9
Norway,59.3
Belgium,58.2
Cyprus,58
Italy,57.7
Ireland,57.4
Japan,57.2
New Zealand,56.7
Spain,56.6
Bahamas,56.2
Greece,56.2
Romania,56
Lithuania,55.9
Seychelles,55.6
Hungary,55.1
North Macedonia,54.3
Botswana,54
Barbados,53.2
Saint Vincent and the Grenadines,53.2
Sao Tome and Principe,52.9
Antigua and Barbuda,52.4
United Arab Emirates,52.4
Bulgaria,51.9
Dominica,51.2
United States of America,51.1
Namibia,50.9
Singapore,50.9
Poland,50.6
Panama,50.5
Portugal,50.4
Belize,50
Canada,50
Gabon,49.7
Ukraine,49.6
Saint Lucia,49.4
Kiribati,49
Belarus,48.5
Armenia,48.3
Israel,48.2
Grenada,47.9
Trinidad and Tobago,47.8
Cuba,47.5
Djibouti,47.5
Albania,47.1
Montenegro,46.9
South Korea,46.9
Chile,46.7
Ecuador,46.5
Venezuela,46.4
Costa Rica,46.3
Zimbabwe,46.2
Suriname,45.9
Brunei Darussalam,45.7
Jamaica,45.6
Mexico,45.5
Taiwan,45.3
Central African Republic,44.9
Eswatini,44.9
Equatorial Guinea,44.8
Mauritius,44.8
Serbia,43.9
Tonga,43.8
Afghanistan,43.6
Brazil,43.6
Jordan,43.6
Moldova,42.7
Bhutan,42.5
Comoros,42.5
Colombia,42.4
Kuwait,42.4
Dominican Republic,42.2
Bahrain,42
Cabo Verde,41.9
Argentina,41.1
Kazakhstan,40.9
Paraguay,40.9
El Salvador,40.8
Tunisia,40.7
Malawi,40.6
Guinea-Bissau,40.2
Bolivia,40.1
Republic of Congo,40.1
Peru,39.8
Bosnia and Herzegovina,39.4
Georgia,39.1
Azerbaijan,38.6
Guyana,38.5
Zambia,38.4
Uzbekistan,38.2
Thailand,38.1
Saudi Arabia,37.9
Nicaragua,37.7
Niger,37.7
Russian Federation,37.5
Maldives,37.4
Micronesia,37.4
Uruguay,37.4
South Africa,37.2
Tajikistan,37.1
Turkmenistan,37
Dem. Rep. Congo,36.9
Vanuatu,36.9
Honduras,36.5
Gambia,36.4
Samoa,36.4
Marshall Islands,36.2
Uganda,35.8
Kyrgyzstan,35.7
Burkina Faso,35.5
Egypt,35.5
Timor-Leste,35.1
Malaysia,35
Solomon Islands,35
Sri Lanka,34.7
Iran,34.5
Tanzania,34.2
Togo,34
Senegal,33.9
Qatar,33
Cote d'Ivoire,32.8
Rwanda,32.8
Sierra Leone,32.7
Lesotho,32.3
Lebanon,32.2
Ethiopia,31.8
Eritrea,31.7
Mozambique,31.7
Guinea,31.6
Fiji,31.3
Kenya,30.8
Laos,30.7
Oman,30.7
Angola,30.5
Burundi,30.5
Cameroon,30.2
Cambodia,30.1
Algeria,29.6
Benin,29.6
Mongolia,29.6
Philippines,28.9
Mali,28.5
China,28.4
Morocco,28.4
Nepal,28.3
Nigeria,28.3
Indonesia,28.2
Chad,28.1
Mauritania,28.1
Guatemala,28
Madagascar,28
Iraq,27.8
Ghana,27.7
Sudan,27.6
Turkey,26.3
Haiti,26.1
Liberia,24.9
Papua New Guinea,24.8
Pakistan,24.6
Bangladesh,23.1
Viet Nam,20.1
Myanmar,19.4
India,18.9
